new_formula,composition_vector,is_superconductor
Hf3Si3Ni2,"[72, 3.0, 14, 3.0, 28, 2.0]",1
Y1Si3Ni5,"[39, 1.0, 14, 3.0, 28, 5.0]",1
Dy1Si3Ni5,"[66, 1.0, 14, 3.0, 28, 5.0]",1
Ho1Si3Ni5,"[67, 1.0, 14, 3.0, 28, 5.0]",1
Er1Si3Ni5,"[68, 1.0, 14, 3.0, 28, 5.0]",1
Tm1Si3Ni5,"[69, 1.0, 14, 3.0, 28, 5.0]",1
Lu1Si3Ni5,"[71, 1.0, 14, 3.0, 28, 5.0]",1
Eu2Si3Ni8,"[63, 2.0, 14, 3.0, 28, 8.0]",1
Gd1Si3Ni8,"[64, 1.0, 14, 3.0, 28, 8.0]",1
Sc3Si4Ni2,"[21, 3.0, 14, 4.0, 28, 2.0]",1
Sc3Si4Ni4,"[21, 3.0, 14, 4.0, 28, 4.0]",1
Hf2Si4Ni3,"[72, 2.0, 14, 4.0, 28, 3.0]",1
Ce3Si4Ni4,"[58, 3.0, 14, 4.0, 28, 4.0]",1
Pr6Si4Ni7,"[59, 6.0, 14, 4.0, 28, 7.0]",1
Nd6Si4Ni7,"[60, 6.0, 14, 4.0, 28, 7.0]",1
La1Si4Ni9,"[57, 1.0, 14, 4.0, 28, 9.0]",1
Pr7Si5Ni2,"[59, 7.0, 14, 5.0, 28, 2.0]",1
Ce2Si5Ni3,"[58, 2.0, 14, 5.0, 28, 3.0]",1
Tb2Si5Ni3,"[65, 2.0, 14, 5.0, 28, 3.0]",1
Si6Ni3Au1,"[14, 6.0, 28, 3.0, 79, 1.0]",0
U2Si6Ni3,"[92, 2.0, 14, 6.0, 28, 3.0]",1
Sc6Si7Ni16,"[21, 6.0, 14, 7.0, 28, 16.0]",1
Ti4Si7Ni4,"[22, 4.0, 14, 7.0, 28, 4.0]",1
Ti6Si7Ni16,"[22, 6.0, 14, 7.0, 28, 16.0]",1
Mn6Si7Ni16,"[25, 6.0, 14, 7.0, 28, 16.0]",1
Zr6Si7Ni16,"[40, 6.0, 14, 7.0, 28, 16.0]",1
Nb6Si7Ni16,"[41, 6.0, 14, 7.0, 28, 16.0]",1
Hf6Si7Ni16,"[72, 6.0, 14, 7.0, 28, 16.0]",1
Ta6Si7Ni16,"[73, 6.0, 14, 7.0, 28, 16.0]",1
Nb4Si7Ni4,"[41, 4.0, 14, 7.0, 28, 4.0]",1
Si7Ni4Au2,"[14, 7.0, 28, 4.0, 79, 2.0]",1
Ni1H4N2O8,"[28, 1.0, 1, 4.0, 7, 2.0, 8, 8.0]",1
Na2Ni1H4Se2O10,"[11, 2.0, 28, 1.0, 1, 4.0, 34, 2.0, 8, 10.0]",1
K1Ga2Ni1P3H4O14,"[19, 1.0, 31, 2.0, 28, 1.0, 15, 3.0, 1, 4.0, 8, 14.0]",1
