new_formula,composition_vector
Sc1Si1Pt1,"[21, 1.0, 14, 1.0, 78, 1.0]"
Sc1Si1Pt2,"[21, 1.0, 14, 1.0, 78, 2.0]"
Sc1Si1Au1,"[21, 1.0, 14, 1.0, 79, 1.0]"
Sc2Mn3Si1,"[21, 2.0, 25, 3.0, 14, 1.0]"
Sc2Fe3Si1,"[21, 2.0, 26, 3.0, 14, 1.0]"
Sc2Co3Si1,"[21, 2.0, 27, 3.0, 14, 1.0]"
Ti1Si1,"[22, 1.0, 14, 1.0]"
Ti1Fe1Si1,"[22, 1.0, 26, 1.0, 14, 1.0]"
Ti1Co1Si1,"[22, 1.0, 27, 1.0, 14, 1.0]"
Ti1Co2Si1,"[22, 1.0, 27, 2.0, 14, 1.0]"
Ti1Si1Ni1,"[22, 1.0, 14, 1.0, 28, 1.0]"
Ti1Cu1Si1,"[22, 1.0, 29, 1.0, 14, 1.0]"
Y1Ti1Si1,"[39, 1.0, 22, 1.0, 14, 1.0]"
Ti1Si1Ru1,"[22, 1.0, 14, 1.0, 44, 1.0]"
Ti1Si1Rh1,"[22, 1.0, 14, 1.0, 45, 1.0]"
Ti1Si1Pd1,"[22, 1.0, 14, 1.0, 46, 1.0]"
Sc5Re8Si12,"[21, 5.0, 75, 8.0, 14, 12.0]"
Tb1Ti1Si1,"[65, 1.0, 22, 1.0, 14, 1.0]"
Dy1Ti1Si1,"[66, 1.0, 22, 1.0, 14, 1.0]"
Ho1Ti1Si1,"[67, 1.0, 22, 1.0, 14, 1.0]"
Er1Ti1Si1,"[68, 1.0, 22, 1.0, 14, 1.0]"
Lu1Ti1Si1,"[71, 1.0, 22, 1.0, 14, 1.0]"
Ti1Re1Si1,"[22, 1.0, 75, 1.0, 14, 1.0]"
Ti1Si1Os1,"[22, 1.0, 14, 1.0, 76, 1.0]"
Ti1Si1Ir1,"[22, 1.0, 14, 1.0, 77, 1.0]"
Ti1Si1Pt1,"[22, 1.0, 14, 1.0, 78, 1.0]"
Ti5Si1Sb2,"[22, 5.0, 14, 1.0, 51, 2.0]"
V1Fe2Si1,"[23, 1.0, 26, 2.0, 14, 1.0]"
V1Co1Si1,"[23, 1.0, 27, 1.0, 14, 1.0]"
V1Si1Ni1,"[23, 1.0, 14, 1.0, 28, 1.0]"
Zr1V1Si1,"[40, 1.0, 23, 1.0, 14, 1.0]"
Hf1V1Si1,"[72, 1.0, 23, 1.0, 14, 1.0]"
V3Si1,"[23, 3.0, 14, 1.0]"
Ta2V3Si1,"[73, 2.0, 23, 3.0, 14, 1.0]"
Cr1Si1Te3,"[24, 1.0, 14, 1.0, 52, 3.0]"
Cr3Si1,"[24, 3.0, 14, 1.0]"
Mn1Fe2Si1,"[25, 1.0, 26, 2.0, 14, 1.0]"
Mn1Co2Si1,"[25, 1.0, 27, 2.0, 14, 1.0]"
Mn1Si1Ni1,"[25, 1.0, 14, 1.0, 28, 1.0]"
Mn1Cu2Si1Se4,"[25, 1.0, 29, 2.0, 14, 1.0, 34, 4.0]"
Mn1Si1Ag2Se4,"[25, 1.0, 14, 1.0, 47, 2.0, 34, 4.0]"
Y1Mn1Si1,"[39, 1.0, 25, 1.0, 14, 1.0]"
Zr1Mn1Si1,"[40, 1.0, 25, 1.0, 14, 1.0]"
Mn1Nb1Si1,"[25, 1.0, 41, 1.0, 14, 1.0]"
La1Mn1Si1,"[57, 1.0, 25, 1.0, 14, 1.0]"
Sm1Mn1Si1,"[62, 1.0, 25, 1.0, 14, 1.0]"
Gd1Mn1Si1,"[64, 1.0, 25, 1.0, 14, 1.0]"
Tb1Mn1Si1,"[65, 1.0, 25, 1.0, 14, 1.0]"
Hf1Mn1Si1,"[72, 1.0, 25, 1.0, 14, 1.0]"
Ta1Mn1Si1,"[73, 1.0, 25, 1.0, 14, 1.0]"
Mn1Si1Ir1,"[25, 1.0, 14, 1.0, 77, 1.0]"
Mn2Si1Se4,"[25, 2.0, 14, 1.0, 34, 4.0]"
U2Mn3Si1,"[92, 2.0, 25, 3.0, 14, 1.0]"
Ba1Si12Pt5,"[56, 1.0, 14, 12.0, 78, 5.0]"
Fe1Si1,"[26, 1.0, 14, 1.0]"
Zr1Fe1Si1,"[40, 1.0, 26, 1.0, 14, 1.0]"
Nb1Fe1Si1,"[41, 1.0, 26, 1.0, 14, 1.0]"
Fe1Si1Ru2,"[26, 1.0, 14, 1.0, 44, 2.0]"
La1Fe1Si1,"[57, 1.0, 26, 1.0, 14, 1.0]"
Ce1Fe1Si1,"[58, 1.0, 26, 1.0, 14, 1.0]"
Pr1Fe1Si1,"[59, 1.0, 26, 1.0, 14, 1.0]"
Nd1Fe1Si1,"[60, 1.0, 26, 1.0, 14, 1.0]"
Sm1Fe1Si1,"[62, 1.0, 26, 1.0, 14, 1.0]"
Tb1Fe1Si1,"[65, 1.0, 26, 1.0, 14, 1.0]"
Dy1Fe1Si1,"[66, 1.0, 26, 1.0, 14, 1.0]"
Ho1Fe1Si1,"[67, 1.0, 26, 1.0, 14, 1.0]"
